"","age","gender","white","nrsk1","nrsk2","nrsk3","nrsk4","nben1","nben2","nben3","nben4","rskben","plantSite","plantNew","morePlants","college","grad","ideology","democrat","republican","con","liberal","year"
"61",60,0,0,10,10,10,7,10,10,10,10,6,7,7,7,0,0,4,NA,NA,0,0,2006
"62",36,1,1,8,7,10,9,8,5,7,6,3,2,2,2,1,0,4,1,0,0,0,2006
"63",72,0,1,10,10,10,10,0,0,0,1,1,1,1,1,0,0,5,1,0,1,0,2006
"64",23,0,1,1,1,4,3,7,8,7,7,6,6,6,6,1,0,4,0,1,0,0,2006
"65",67,1,1,2,2,2,2,4,7,9,5,7,7,6,6.5,0,0,6,0,1,1,0,2006
"66",76,1,1,8,8,4,NA,9,8,7,7,4,1,6,3.5,1,0,3,0,1,0,1,2006
"67",48,1,1,5,6,6,9,10,7,2,NA,3,5,2,3.5,0,0,3,0,0,0,1,2006
"68",54,1,1,1,4,0,0,8,5,0,2,4,6,2,4,1,0,2,1,0,0,1,2006
"69",47,1,1,4,7,4,2,6,6,6,6,4,3,5,4,1,0,5,0,1,1,0,2006
"70",59,0,0,7,5,7,10,10,8,5,8,3,6,6,6,1,0,7,0,0,1,0,2006
"71",60,1,1,2,4,6,3,10,10,10,10,7,5,7,6,0,0,7,0,1,1,0,2006
"72",44,0,1,10,10,4,3,4,9,4,9,5,2,6,4,0,0,4,0,1,0,0,2006
"73",68,1,1,7,6,8,8,3,3,3,2,3,3,3,3,0,0,7,0,1,1,0,2006
"74",49,0,1,8,8,10,10,10,10,10,10,4,2,2,2,0,0,6,0,0,1,0,2006
"75",44,0,1,5,7,7,5,7,7,7,7,4,3,1,2,0,0,2,1,0,0,1,2006
"76",57,0,1,7,7,7,7,1,1,1,1,4,1,1,1,1,1,4,1,0,0,0,2006
"77",45,0,1,10,10,10,10,10,10,10,10,4,1,1,1,0,0,4,NA,NA,0,0,2006
"78",35,0,1,5,6,7,4,8,6,7,7,5,4,6,5,1,1,3,1,0,0,1,2006
"79",24,0,1,10,10,10,9,7,5,10,10,2,6,1,3.5,1,1,5,0,1,1,0,2006
"80",36,0,1,8,8,10,10,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,0,NA,NA,2006
"81",49,1,1,8,7,9,7,6,10,7,10,6,6,6,6,0,0,4,NA,NA,0,0,2006
"82",87,0,0,2,6,0,6,0,3,NA,2,1,6,1,3.5,0,0,4,0,1,0,0,2006
"83",NA,0,1,8,8,10,8,2,2,2,2,2,2,1,1.5,1,1,4,0,0,0,0,2006
"84",60,0,1,10,7,10,7,0,10,5,3,6,5,4,4.5,0,0,4,NA,NA,0,0,2006
"85",37,0,0,10,10,10,8,5,4,4,5,4,1,1,1,0,0,4,1,0,0,0,2006
"86",40,1,1,10,10,10,10,0,0,0,0,1,1,1,1,0,0,5,0,0,1,0,2006
"87",NA,0,0,7,3,5,7,8,8,9,7,4,3,3,3,0,0,4,1,0,0,0,2006
"88",20,0,0,8,8,9,8,6,7,6,7,2,2,2,2,0,0,3,1,0,0,1,2006
"89",38,1,0,10,8,8,8,10,9,10,8,5,7,7,7,0,0,4,1,0,0,0,2006
"90",44,0,1,8,8,9,3,7,7,7,8,3,4,2,3,0,0,6,0,1,1,0,2006
"91",25,1,1,10,8,6,8,7,6,8,8,6,4,3,3.5,0,0,3,1,0,0,1,2006
